Partlist

Exported from Motherboard Schematics - 1 - 29_Dec_2020.brd at 1/27/2021 3:21 PM

EAGLE Version 9.6.2 Copyright (c) 1988-2020 Autodesk, Inc.

Assembly variant: 

Part     Value                               Package                                   Library                                           Position (mil)        Orientation
R24      10k                                 R1206                                     rcl                                               (4970 880)            MR90
R25      10k                                 R1206                                     rcl                                               (4980 265)            MR90
R26      10k                                 R1206                                     rcl                                               (5075 340)            R90
R27      10k                                 R1206                                     rcl                                               (4960 -220)           R90
R28      10k                                 R1206                                     rcl                                               (4945 -250)           MR90
R29      10k                                 R1206                                     rcl                                               (4925 -755)           MR180
R30      10k                                 R1206                                     rcl                                               (4795 -780)           R180
R31      10k                                 R1206                                     rcl                                               (1505 -760)           MR90
R32      10k                                 R1206                                     rcl                                               (1713 -1013)          R180
R33      10k                                 R1206                                     rcl                                               (1660 -775)           MR0
R34      10k                                 R1206                                     rcl                                               (1535 -470)           R0
R35      10k                                 R1206                                     rcl                                               (2266 -394)           R0
R36      10k                                 R1206                                     rcl                                               (2267 -228)           R180
R37      10k                                 R1206                                     rcl                                               (1682 -264)           R180
R38      10k                                 R1206                                     rcl                                               (1520 460)            MR0
R39      10k                                 R1206                                     rcl                                               (1933 373)            R180
R40      10k                                 R1206                                     rcl                                               (1660 917)            R180
R41      10k                                 R1206                                     rcl                                               (1940 949)            MR0
R42      10k                                 R1206                                     rcl                                               (1239 954)            R90
R43      10k                                 R1206                                     rcl                                               (852 445)             R270
R44      10k                                 R1206                                     rcl                                               (1289 1180)           R270
R45      10k                                 R1206                                     rcl                                               (765 1180)            MR0
R46      10k                                 R1206                                     rcl                                               (1925 -650)           MR270
R47      10k                                 R1206                                     rcl                                               (1883 -458)           R270
R48      10k                                 R1206                                     rcl                                               (2036 -677)           MR90
R49      10k                                 R1206                                     rcl                                               (1915 265)            MR270
R50      10k                                 R1206                                     rcl                                               (2110 300)            R90
R51      10k                                 R1206                                     rcl                                               (2025 155)            MR270
R52      10k                                 R1206                                     rcl                                               (1455 205)            MR180
R53      10k                                 R1206                                     rcl                                               (1740 295)            R270
R54      10k                                 R1206                                     rcl                                               (1595 150)            MR270
R55      10k                                 R1206                                     rcl                                               (1538 854)            MR270
R56      10k                                 R1206                                     rcl                                               (1520 360)            R180
R57      10k                                 R1206                                     rcl                                               (1342 891)            MR0
R58      10k                                 R1206                                     rcl                                               (1970 776)            MR90
R59      10k                                 R1206                                     rcl                                               (2133 862)            R0
R60      10k                                 R1206                                     rcl                                               (1810 860)            MR0
R61      10k                                 R1206                                     rcl                                               (1469 1392)           MR180
R62      10k                                 R1206                                     rcl                                               (1705 1390)           R0
R63      10k                                 R1206                                     rcl                                               (1610 1305)           MR270
R64      10k                                 R1206                                     rcl                                               (2030 1400)           MR90
R65      10k                                 R1206                                     rcl                                               (1953 1483)           R180
R66      10k                                 R1206                                     rcl                                               (1930 1380)           MR270
R67      10k                                 R1206                                     rcl                                               (738 909)             MR180
R68      10k                                 R1206                                     rcl                                               (512 764)             R180
R69      10k                                 R1206                                     rcl                                               (800 758)             MR270
R70      10k                                 R1206                                     rcl                                               (507 784)             MR180
R71      10k                                 R1206                                     rcl                                               (676 705)             R90
R72      10k                                 R1206                                     rcl                                               (655 722)             MR270
R73      10k                                 R1206                                     rcl                                               (1057 1675)           MR180
R74      10k                                 R1206                                     rcl                                               (1259 1784)           R0
R75      10k                                 R1206                                     rcl                                               (1202 1619)           MR270
R76      10k                                 R1206                                     rcl                                               (660 1606)            MR180
R77      10k                                 R1206                                     rcl                                               (882 1619)            R90
R78      10k                                 R1206                                     rcl                                               (835 1537)            MR270
R79      1k                                  R1206                                     rcl                                               (4865 3125)           R90
R80      1k                                  R1206                                     rcl                                               (5160 3615)           R90
R81      1k                                  R1206                                     rcl                                               (4170 3570)           R270
R82      1k                                  R1206                                     modified cap                                      (2835 300)            MR90
R83      1k                                  R1206                                     rcl                                               (3825 2410)           R180
R84      1k                                  R1206                                     rcl                                               (4455 715)            MR270
R85      1k                                  R1206                                     rcl                                               (4560 -117)           MR90
R86      1k                                  R1206                                     rcl                                               (4035 -225)           MR270
R87      1k                                  R1206                                     rcl                                               (4481 152)            MR90
R88      1k                                  R1206                                     rcl                                               (4010 100)            MR270
R89      1k                                  R1206                                     rcl                                               (4488 508)            MR180
RESET_SW                                     B3F-10XX                                  switch-omron                                      (4685 -1390)          R180
SL1                                          10P                                       con-amp-quick                                     (4265 1550)           R270
SL2                                          02P                                       con-amp-quick                                     (-686 3476)           R270
SL3                                          04P                                       con-amp-quick                                     (-5 1975)             R270
SL4                                          04P                                       con-amp-quick                                     (30 -675)             R90
SL5                                          04P                                       con-amp-quick                                     (30 -1165)            R90
SL6                                          04P                                       con-amp-quick                                     (5 1500)              R270
SL7                                          05P                                       con-amp-quick                                     (-10 -85)             R90
SL8                                          09P                                       con-amp-quick                                     (10 735)              R90
SL9                                          03P                                       con-amp-quick                                     (1436 2362)           R0
SL10                                         02P                                       con-amp-quick                                     (1460 1965)           R0
SL13                                         02P                                       con-amp-quick                                     (4690 -1130)          R0
SL14                                         06P                                       con-amp-quick                                     (3375 -1420)          R0
SL15                                         06P                                       con-amp-quick                                     (4120 -1420)          R0
SL16                                         06P                                       con-amp-quick                                     (2675 -1420)          R0
SL17                                         05P                                       con-amp-quick                                     (4255 740)            R270
SL18                                         04P                                       con-amp-quick                                     (4290 -455)           R180
SL19                                         07P                                       con-amp-quick                                     (4260 65)             R90
SW       SPPH410100                          SPPH410100                                SPPH410100                                        (950 2110)            R0
SWITCH   SWITCH_I                            SWITCH_I                                  SWITCH-I                                          (20 3470)             R0
T1       TERMINAL_BLOCK                      BOC_TERMINAL                              TERMINAL_BLOCK                                    (0 3990)              R180
U$1      RTC-DS3231-AT24C32                  RTC-DS3231-AT24C32                        diy-modules                                       (3205 -715)           R0
U$2      RS485-TTL-CONVERTER                 RS485-TTL-CONVERTER                       diy-modules (1)                                   (45 2825)             R180
U$3      DC-DC-STEP-DOWN-LM2596              DC-DC-STEP-DOWN-LM2596                    diy-modules                                       (2745 2700)           R0
U$4      DC-DC-STEP-DOWN-LM2596              DC-DC-STEP-DOWN-LM2596                    diy-modules                                       (3220 3685)           R0
U1       MEGA_PRO_EMBED_CH340G_/_ATMEGA2560  MODULE_MEGA_PRO_EMBED_CH340G_/_ATMEGA2560 MEGA_PRO_EMBED_CH340G___ATMEGA2560                (3035 1030)           R270
X1       5mmTerminal_Block                   TERMINAL-BLOCK-2-PIN-3.5MM-LONG-PAD       Terminal Block -5mm v1-0                          (-535 2110)           R90
